ID,Ruleset,Name,Requirements,Effects description,Flavor text,Restrictions,Dzięki dla Zbycha za xmind 
PERK_BIERZGO,Neuroshima Edycja 1.5,Bierz go!,"Opieka nad zwierzętami 4+, Charakter 8+
",Bohater może wydać prosty rozkaz oswojonemu i wytresowanemu zwierzęciu.,"Jeżeli lubisz zwierzęta, a one w dodatku to wyczują, możesz skorzystać na wzajemnej sympatii. A kogoś poszczujesz kretem, a to jaszczurka aportuje Ci bumerang…",NIEOGRANICZONE,
PERK_BOA,Neuroshima Edycja 1.5,Boa,"Broń ręczna 5+, Zręczność 12+
","Jeśli walczący używa łańcucha, nie otrzymuje kary za walkę w zwarciu, tłoku i ciasnych pomieszczeniach. Ponadto otrzymuje dodatkowe akcje za 2 lub 3 sukcesy.

Akcja za 2 sukcesy: pochwycenie
Używanie przez walczących bronie otrzymują modyfikator jak w tłoku, a pochwycony dodatkowo otrzymuje karę -2 do Zręczności (dopóki nie przejmie Inicjatywy lub nie otrzyma rany).

Akcja za 3 sukcesy: wykończenie
Walczący dusi przeciwnika łańcuchem i unieruchamia go. Może przydusić przeciwnika, aż ten straci przytomność: obaj walczący wykonują Przeciwstawny test Budowy, przeciwnik z dodatkowym PT +60% Jeśli przeciwnik przegra test, traci przytomność. Jeśli przeciwnik został pochwycony wcześniej, wtedy akcja kosztuje tylko 2 sukcesy.","Łańcuch uchodzi za broń dla idiotów. Może nie jest specjalnie zabójczy, ale nieźle wyrównuje szanse, nawet jeśli nic nie potrafisz. A jednak widziałem kiedyś prawdziwego mistrza łańcucha. Potrafił nim nawet obierać ziemniaki.",NIEOGRANICZONE,
PERK_CASSANOVA,Neuroshima Edycja 1.5,Cassanova,"Blef 2+, Perswazja 2+, Zwinne dłonie 2+, Spryt 10+",Możesz przerzucić każdy test Charakteru związany z uwodzeniem.,[ocenzurowano],MALE,
PERK_MATAHARI,Neuroshima Edycja 1.5,Mata Hari,"Blef 2+, Perswazja 2+, Zwinne dłonie 2+, Spryt 10+",Możesz przerzucić każdy test Charakteru związany z uwodzeniem.,[ocenzurowano],FEMALE,
PERK_CHLODNYMOKIEM,Neuroshima Edycja 1.5,Chłodnym okiem,"Spryt 14+
","Wykonujesz test Sprytu. Jeśli zdasz, MG musi spokojnie, powoli i jasno przedstawić ci wszystkie fakty i zdarzenia, które pojawiły się w przygodzie. Jeszcze raz, po kolei i od początku.","Wsadzał na głowę słuchawki, włączał walkmana z melodią szumiących liści, robił sobie gorącej kawy i zamykał oczy. Po połowie godziny otwierał oczy i rzucał jakimś spostrzeżeniem. Cholera, zawsze potrafił mnie zaskoczyć.",NIEOGRANICZONE,
PERK_CISZEJNIZCIEN,Neuroshima Edycja 1.5,Ciszej niż cień,"Skradanie się 6+
",Przeciwnik zdaje o poziom trudniejszy test Czujności/Wypatrywania/Nasłuchiwania.,Słyszałeś kiedyś poruszający się cień? Z tą Sztuczką możesz być jeszcze bardziej cichy. A widziałeś kiedyś skradający się cień w środku bezksiężycowej nocy? Możesz być jeszcze bardziej niewidzialny. Dwa w jednym. Nie ma co się zastanawiać- bierz!,NIEOGRANICZONE,
PERK_CZLOWIEKKTORYKULOMSIENIEKLANIA,Neuroshima Edycja 1.5,"Człowiek, który kulom się nie kłania","Morale 3+, Percepcja 8+
",Bohater jest uodporniony na efekty psychologiczne ostrzału (ale nie obrażeń!).,"Opowiadali mi, że na północy, na froncie, pracował pewien sanitariusz. Chodził między okoapmi spokojnie, jakby zbierał stokrotki. Tu zawiązał bandaż, tam założył łupki na nogę, a w powietrzu kule gwizdały i gwizdały.",NIEOGRANICZONE,
PERK_CZTEREJPANCERNI,Neuroshima Edycja 1.5,Czterej pancerni,"Wozy bojowe 3+ lub Maszyny Ciężkie 3+, Opieka nad zwierzętami 2+
","Jeżeli bohater kierujący maszyną ma w kopicie trzech pomocników, z których każdy posiada umiejętność Maszyny ciężkie lub Wozy bojowe przynajmniej na 1, wszystkie jego testy związane z pojazdem są łatwiejsze o 20%. Jeżeli w załodze znajdzie się pies, testy są łatwiejsze o 30%.","Słyszałeś kiedyś o gangu czołgistów? To nie mit. Istnieją tacy narwańcy, którzy wędrują po kontynencie w czołgu. Po czterech w każdej maszynie. Magiczna liczba, czy co? Piąty zawsze jest pies.",NIEOGRANICZONE,
PERK_CZULYSPUST,Neuroshima Edycja 1.5,Czuły spust,"Percepcja 14+, Broń maszynowa 4+
","Bohater może przerwać zadeklarowaną długą serię po 1 segmencie, oddając zamiast niej krótką. Może też przerwać ogień ciągły po 1 segmencie, oddając zamiast niego krótką serię, lub po 2 segmentach- oddając długą serię. Dzięki temu oszczędza kule.","Pewien sierżant z Posterunku zrobił kiedyś niezły pokaz. Zasiadł do CKM'u, uśmiechnął się i powiedział: 12. Po czym tratatatata. Potem powiedział: 21. I tratatatata. Poszliśmy policzyć dziurki w ścianie. Dwanaście i dwadzieścia jeden.",NIEOGRANICZONE,
PERK_DALSZYZASIEG,Neuroshima Edycja 1.5,Dalszy zasięg,"Kusza 9+, Budowa 12+
","Otrzymując te same utrudnienia bohater potrafi strzelić na dwa razy większą odległość, pod warunkiem. że kusza ma wystarczający zasięg.","Znasz Chucka? Chuck mówi do mnie, ""Widziałeś tego ptaka?"" A ja mu na to ""No nie widzę"". A on mówi: ""To posłuchaj"". I sru, strzelił z tej swojej kuszy. I po chwili ""Kraaaa, kraaa"". Zabił ptaszynę... Ja wiem, ile to mogło być metrów, pięćset?",NIEOGRANICZONE,
PERK_DAWID,Neuroshima Edycja 1.5,Dawid,"Proca 4+
","Bohater przeznacza trzy segmenty na strzał, dzięki czemu jest mu łatwiej o -30% trafić przeciwnika z procy.","A gość kręci tym paskiem i kręci, w końcu pytam go: ""Koleś, zaciąłeś się?! Wypuścisz ten kamień w końcu?"" No i wypuścił. Aż żal mi było tego palanta z Vegas, gdy dostał kamieniem prosto w czoło. Niby zwykła proca, a jednak wiele potrafi.",NIEOGRANICZONE,
PERK_DLUZSZYSTRZAL,Neuroshima Edycja 1.5,Dłuższy strzał,"Łuk 9+, Budowa 12+
","Otrzymując te same utrudnienia, Bohater potrafi strzelić na dwa razy większą odległość, pod warunkiem, że łuk ma wystarczający zasięg.","Znasz Chucka? Chuck mówi do mnie, widzisz tego ptaka? A ja  mu na to: no widzę. A on... Co? Już to mówiłem? O kuszy? E, niemożliwe. Chuck strzela z łuku...",NIEOGRANICZONE,
PERK_DOBRYIZLYGLINA,Neuroshima Edycja 1.5,Dobry i zły glina,"Spryt 12+
","Podczas przesłuchiwania sam na sam z więźniem, możesz w teście dodać do Zastraszania lub Perswazji swój Blef lub Postrzeganie emocji.
","Widzisz tamten cmentarz? Zauważyłeś, że wszystkie daty na nim są wczorajsze? Wczoraj chciałem się po prostu dowiedzieć od miejscowych, który z nich jest mechanikiem. I wiesz, w końcu poskutkowało. Jakiś facio w ciągu trzech godzin nauczył się fachu i teraz reperuje mój samochód.",NIEOGRANICZONE,
PERK_DOBYWANIE,Neuroshima Edycja 1.5,Dobywanie,"Pistolety 5+ lub Broń ręczna 5+, Zręczność 12+
",Dobycie pistoletu (lub noża itp.) zajmuje jeden segment.,"Widziałem kiedyś taki film, w starym kinie w Vegas, ""Bez przebaczenia"", czy ""Tombstone"", nie pamiętam dokładnie. Rzecz była o kowbojach. Ci goście strzelali się bez osłony, bez pancerzy i innych takich. Jednyne co się liczyło- to kto pierwszy dobędzie broni i wystrzeli. I wiesz, od klku miesięcy też ćwiczę dobywanie. W końcu kogoś zaskoczę.",NIEOGRANICZONE,
PERK_DOMNAPLECACH,Neuroshima Edycja 1.5,Dom na plecach,"Kondycja 4+, Budowa 13+
",Możesz udźwignąć dwa razy więcej niż normalny człowiek.,"Kiedy wyciągnął z plecaka namiot, materac, śpiwór, dwie butle gazowe, zestaw garnków, książkę kucharską i maść na moskity, nie zdziwiłem się. Zaskoczył mnie, gdy wyciągnął słoik ogórków, miseczkę na deszczówkę i żółwia w słoiku. Potem jeszcze jakiś wykrywacz ruchu i poduszkę. Przegiął, gdy z dna wyjął piżamę i papucie...",NIEOGRANICZONE,
PERK_DOSWIADCZONY,Neuroshima Edycja 1.5,Doświadczony,"Kondycja 5+, Budowa 12+
","Bohater pomaga innym osobom pracującym wraz z nim, ich wydajność jest większa o 50%, bo BG motywuje i pomaga innym w pracy.","Dawniej była nawet taka fucha, bodaj brygadzista się to nazywało. Facet stał i nic nie robił, a inni dzięki temu pracowali lepiej. Dasz wiarę?!",NIEOGRANICZONE,
PERK_DYSTANS,Neuroshima Edycja 1.5,Dystans,"Rzucanie 6+, Budowa 10+
",Bohater otrzymuje tylko połowę kary wynikającej z dystansu podczas rzucania nożem.,"Znasz Chucka? Chuck mówi do mnie: ""Widzisz tego ptaka?"". Co znowu? Jak to już było? Co było?! Opowiadałem już o tym? No to sorry...",NIEOGRANICZONE,
PERK_DZISWSZYSTKOJUTRONIC,Neuroshima Edycja 1.5,"Dziś wszystko, jutro nic","Kondycja 3+
","Bohater może pracować tyle wydajniej o tyle procent wydajniej, ile wynosi jego Budowa pomnożona przez 20. Musi też zdać Bardzo Trudny test Budowy. Następnego dnia Bohater nie jest zdolny do wykonywania pracy fizycznej.","No i gość zawziął się i rozładował ten tabor. Inna sprawa, że na drugi dzień, jak zszedł z wyra, to padł na pysk i tak został. Kawę to mu słomką podawałem. Nie potrafił się ruszać i już. Popsuł się, innymi słowy.",NIEOGRANICZONE,
PERK_FLASH,Neuroshima Edycja 1.5,Flash,"Bijatyka 4+, Kondycja 3+
","Decyzję należy podjąć na początku tury, przed rzutem 3k20. Walczący może dodać +3 do Zręczności w obronie na czas 1 segment. Za to na koniec tury otrzymuje karę +20% ze zmęczenia.","Uwziąłem się kiedyś na pewnego Chinola. Rozwaliłem pół knajpy, ale nie udało mi się go trafić. Padał, skakał, fikał koziołki. W końcu znalazłem go pod jednym ze stolików. Facet w końcu padł z wyczerpania.",NIEOGRANICZONE,
PERK_GARDA,Neuroshima Edycja 1.5,Garda,"Bijatyka 4+, Budowa 12+
","Decyzję należy podjąć na początku tury, przed rzutem 3k20. Walczący otrzymuje bonus +6 do Zręczności w obronie, ale w razie obronionego ciosu i tak otrzymuje obrażenia, tylko o stopień niższe. Sztuczka działa tylko przeciwko nieuzbrojonemu przeciwnikowi (oczywiście, w miarę humanoidalnemu).","Gość mnie w nerkę, a ja w bok. On mnie w brzuch, a ja się zastawiam. On mnie w bok, a ja garda. I jeszcze raz uderzył w nerkę, a ja jeszcze jeden blok. Niestety, potem się wściekł i złapał toporek.",NIEOGRANICZONE,
PERK_GLAZ,Neuroshima Edycja 1.5,Głaz,"Przygotowanie pułapki 3+, Charakter 12+
",Bohater potrafi trwać nieruchomo przez ilość minut równą Charakterowi pomnożonemu przez 20.,"Nie wiesz jak straszliwie trudno jest zachować bezruch przez dłuższy czas. Musisz się podrapać. Przesunąć nogę. Wysikać. Dostajesz skurczu. A oczy wariują - niedługo całe twoje ciało wrzeszczy o jakiś ruch. Dobry snajper potrafi się wyciszyć. Potrafi przeleżeć półtora dnia jak głaz, wtopiony w otoczenie, będąc w jakimś dziwnym transie. Nie poruszy się do chwili, gdy pojawi się cel. A wtedy poruszy tylko palcem.",NIEOGRANICZONE,
PERK_GOLAREKA,Neuroshima Edycja 1.5,Goła ręka,"Zwinne dłonie 4+
","Bohater potrafi podejść do kogoś z ukrytym pistoletem lub nożem w rękawie tak, że broń jest niedostrzegalna. Jeśli przeciwnicy spodziewają się ukrytej broni, muszą wykonać Bardzo Trudny test Czujności.","Karty kartami, ale zwinne rączki przydają się nie tylko przy zielonym stoliku. Czasem na hasło ""Pokaż ręce"" trzeba pokazać, że nie ma się broni. A jednak zawsze tę broń warto by mieć, prawda? Mój kumpel właśnie umiał tak - niby pokazywał, że nie ma, a zawsze coś miał, skubany...",NIEOGRANICZONE,
PERK_GRANIENANERWACH,Neuroshima Edycja 1.5,Granie na nerwach,"Perswazja 9+, Spryt 10+
","Wykonując Bardzo Trudny test Perswazji, Bohater potrafi rozzłościć dowolna osobę tak, że wali ona w pysk najbliżej stojącą ofiarę losu, ale nie Bohatera. Kobiety wykonują zaledwie Trudny test perswazji.","Miałem takiego kumpla, Eliasa. Facet był wkurzający, ale miał dobre źródło Tornado, więc włóczyłem się za nim przez długi czas. Raz napotkaliśmy takiego wielkiego gangera. Elias zaczął się nabijać z twardziela. Tak mu grał na nerwach, że wielkolud zrobił się czerwony. Już myślałem, że przypieprzy Eliasowi... i dostałem w pysk.",NIEOGRANICZONE,
PERK_GUNFIGHT,Neuroshima Edycja 1.5,Gunfight,"Pistolety 4+ Zręczność 14+
",Wykonując strzał z przyłożenia możliwość użycia umiejętności Strzelanie zamiast Bijatyka w walce wręcz. ,"Facet nie był karateką, ale dbał o to, by mu nikt spluwy nie wziął. Potrafiłby odstrzelić ci kapelusz trzymając spluwę za swoimi plecami. Nawet byś nie wiedział, skąd padł strzał.",NIEOGRANICZONE,
PERK_HEJPRZYSTOJNIAKU,Neuroshima Edycja 1.5,"Hej, przystojniaku!","Perswazja 4+, Charakter 14+, tylko dla kobiety
","Aby oprzeć się Perswazji bohaterki, członkowie drużyny muszą wykonać Cholernie Trudny test Niezłomności. W przypadku porażki, spełnią ""każde"" jej życzenie (chodzi o drobne przysługi);","Czasem zupełnie przeciętna dziewczyna potrafi przyciągać spojrzenia bardziej niż niesamowita szprycha. Dzięki tej sztuczce, stada samców będą na usługi bohaterki. Przynieś buty. Leż. Zmywaj.",FEMALE,
PERK_HOKUSPOKUS,Neuroshima Edycja 1.5,Hokus pokus,"Zwinne dłonie 4+
",Bohater potrafi schować do kieszeni lub wyciągnąć z niej niewielki przedmiot w sposób zupełnie niedostrzegalny.,"Fajna sztuczka, przynajmniej do czasu, jak nie bawisz się granatem. Bo wiesz, jak się zbytnio zagalopujesz, i sobie wsadzisz w spodnie, a jeszcze bez zawleczki...",NIEOGRANICZONE,
PERK_IMMUNITET,Neuroshima Edycja 1.5,Immunitet,"Leczenie chorób 4+, Budowa 12+
",Bohater nigdy nie zarazi się chorobą podczas leczenia pacjentów.,"Była kiedyś taka kobieta. Nazywała się Matka Teresa z Kalkuty. Chociaż w Kalkucie pod Denver nikt o niej nie słyszał, uczeni powiadają, że mimo, iż leczyła zakaźnie chorych, umarła ze starości.",NIEOGRANICZONE,
PERK_INSPIRACJA,Neuroshima Edycja 1.5,Inspiracja,Zdolności przywódcze 3+,"Dowódca zdaje Trudny test Zdolności przywódczych. Jeśli go zda, obniża o jeden Poziom Trudności najbliższego testu Morale wszystkich swoich podkomendnych lub towarzyszy.","Spoko chłopcy, może i jest ich więcej, ale i tak przerobimy ich na pasztet! Damy radę?! Pewnie! No to łapać za niezbędniki i naprzód!",NIEOGRANICZONE,
PERK_JESTZAJEBISCIE,Neuroshima Edycja 1.5,Jest zajebiście,"Blef 6+, Charakter 16+","Bohater wykonuje test Blefu o dowolnie wybranym PT. Jeśli test się powiedzie na każdy PT powyżej Łatwego wszyscy w drużynie dostają ułatwienie -5% do najbliższego testu. Jeśli test Blefu nie powiedzie się, wszyscy dostają utrudnienie tej samej wysokości.","Miałem takiego kumpla. Niepoprawny optymista - parł naprzód mimo wszelkich przeszkód. Nie widział nigdy złych stron żadnego planu. Wszystko było dla niego ""zajebiste"". Najlepsze, że potrafi tym entuzjazmem zarażać innych. To zajebista Sztuczka. Weź ją.",NIEOGRANICZONE,
PERK_KANALY,Neuroshima Edycja 1.5,Kanały,"Wyczucie kierunku 4+, Spryt 12+","Wędrując po podziemiach, Bohater orientuje się w kierunkach niczym żywy kompas i pamięta drogę, jaką przebył tak, jakby miał przed oczami mapę.","Wędrowaliśmy po podziemiach dobre sześć, może nawet więcej godzin. Ciemno, mokro i piździ. A gość mówi, jesteśmy na miejscu. Myślę sobie - zaprowadził nas do domu, witamy w szambie! A on nie, wychodzi na powierzchnię i nagle okazuje się, że jesteśmy w Vegas. A wiesz, rano byliśmy w Detroit. Poważnie!",NIEOGRANICZONE,
PERK_KOMANDOS,Neuroshima Edycja 1.5,Komandos,"Zręczność 14+, Czujność 3+","Nie można cię trafić korygowanym, ani przenoszonym ogniem z broni maszynowej.","Pewien facet nauczył mnie doceniać znaczenie tych małych podskakujących kopczyków ziemi, które powstają gdy jakiś wariat wygarnie serią z CKMu. Nie żeby od razu bawił się w arytmetykę i geometrię, ale skubany tak się toczył na prawo i lewo, że prawie nie szło go trafić.",NIEOGRANICZONE,
PERK_KOPZOBROTU,Neuroshima Edycja 1.5,Kop z obrotu,"Bijatyka 4+, Budowa 8+, Zręczność 14+","Akcja za 3 sukcesy.
Budowa do 16 = Lekki Siniak
Budowa powyżej 16 = Ciężki Siniak
Można stosować nawet gdy walczysz bronią.","Steve miał taki styl, mówił do kolesia Martens i niby się od niego odwracał, by po chwili zakręcić się i pieprznąć z półobrotu w twarz. Wiesz, Martensy to nazwa jego butów; zawsze potem przez tydzień miałeś ich znak firmowy na ryju. Całkiem niezłe logo, swoją drogą...",NIEOGRANICZONE,
PERK_KOT,Neuroshima Edycja 1.5,Kot,"Wspinaczka 4+, Zręczność 12+","Bohater może spadać z dwa razy wyższej wysokości niż normalni ludzie, nie odnosząc obrażeń.","I mówi do mnie, spieprzamy. Ja patrzę, a gość skacze przez okno. Obłęd.",NIEOGRANICZONE,
PERK_KRADZIEZWTLUMIE,Neuroshima Edycja 1.5,Kradzież w tłumie,"Kradzież kieszonkowa 2+, Ukrywanie się 2+",Jeśli okradasz kogoś w tłumie czy ścisku test Kradzieży kieszonkowej jest dla Ciebie łatwiejszy o -30%,"Johny się potknął i wpadł na Devila, Devil na mnie, ja na jakiegoś frajera, a do mojej ręki przylepiła się jakaś spluwa i dwa zapasowe magazynki. Dziwne to wszystko, co nie?",NIEOGRANICZONE,
PERK_LESNYDIABEL,Neuroshima Edycja 1.5,Leśny diabeł,"Ukrywanie się 5+, Łowiectwo 2+","Ukrywając się w lesie, wśród zarośli i drzew, Bohater może dodać do Umiejętności Ukrywania się Łowiectwo.","Kiedy myślę o takich ludziach, przechodzą mnie dreszcze. Nie dostrzeżesz żadnego z nich, chyba, że zechce być zauważony. Leśny diabeł zaszyje się gdzieś w gąszczu i tkwi w ukryciu, wyczekując na zdobycz. Ma świadomość bezpieczeństwa, więc może skupić się tylko na wyszukiwaniu celu. Pomyśl czego ktoś taki mógłby dokonać ze snajperką. ",NIEOGRANICZONE,
PERK_LADOWANIEKUSZY,Neuroshima Edycja 1.5,Ładowanie kuszy,Kusza 6+,Załadowanie kuszy zajmuje Bohaterowi jedną turę.,"Kuszy nie ładuje się łatwo. Można nawet powiedzieć, że w warunkach bojowych naciąganie cięciwy to prawdziwy horror. No cóż, są tacy, którzy potrafią w miarę szybko załadować kuszę. Ja tam wolę strzelać z peemki.",NIEOGRANICZONE,
PERK_LAWNIK,Neuroshima Edycja 1.5,Ławnik,Budowa 14+,"Otrzymujesz bonus +2 do Broni ręcznej, jeśli w walce zamiast broni używasz ciężkich elementów otoczenia, jak stoły, ławki, beczki itp.","Ławnik to taki koleś, który jak nikt inny potrafi nawalać wszystkich wokół ławką. Albo beczką. Albo stolikiem. Cokolwiek, byle było duże i ciężkie.",NIEOGRANICZONE,
PERK_MAGAZYNEK,Neuroshima Edycja 1.5,Magazynek,"Zręczność 12+, Pistolety lub Karabiny 3+",Wymiana magazynka w pistolecie zajmuje jeden segment. W przypadku rewolwerów ładujesz 1 nabój na segment.,"A widziałeś może ""Desperado""? Ten gość potrafił wymieniać magazynek, jak nikt inny.",NIEOGRANICZONE,
PERK_MECHBOJOWY,Neuroshima Edycja 1.5,Mech bojowy,"Maszyny ciężkie 4+, Spryt 12+","Bohater potrafi wykorzystać elementy maszyn jako broń (wysięgniki, dźwigi, widły wózków) PT testów posługiwania się taką bronią ustala MG.","Wstyd się przyznać, ale w miasteczku, które pojechaliśmy łupić, załatwił nas samotny facet. Serio, był sam a nas sześciu - każdyna Harleyu. Jak nas załatwił?
Miał wóz strażacki. Nie doceniliśmy potęgi sikawki. I nie ma się z czego śmiać!",NIEOGRANICZONE,
PERK_MIOTACZKUL,Neuroshima Edycja 1.5,Miotacz kul,"Zręczność 12+, Percepcja 10+, Wyczucie kierunku 1+, Rzucanie 2+","Otrzymujesz bonus -30% do rzucania, jednak nie dotyczy to rzucania nożami itp","Potrafisz cholernie celnie rzucać przedmiotami. Nie znaczy to, że od razu zostaniesz nożownikiem. Co prawda, trafisz w cel nawet nożem, ale nie znaczy, że od razu tą właściwą, ostrą stroną. Za to do granatów jest to wprost idealne!",NIEOGRANICZONE,
PERK_MISTRZOPASKIUCISKOWEJ,Neuroshima Edycja 1.5,Mistrz opaski uciskowej,"Pierwsza pomoc 3+, Blef 3+, Zręczność 12+","Bohater potrafi tak ""opatrzyć"" swojego pacjenta, że podopieczny jest skrępowany i nie może się ruszyć. Sztuczka działa, jeżeli powiedzie się Trudny test Pierwszej pomocy oraz Trudny test Blefu","Postrzeliłem tamtego gangera, aleto był mój ostatni nabój. Myślałem, że gówniarz nas rozstrzela, ale kumpel mówi - ""Jestem mistrzem opaski uciskowej, opatrzę ci ranę, ale puścisz nas"". Ganger w śmiech i odpowiada - ""Zobaczymy"". Kumpel dopadł do zbira i dawaj go bandażować. Nawet się nie połapałem, kiedy związał Gangera ""w baleron""",NIEOGRANICZONE,
